Datetime,Prévision J-1,Prévision J,Consommation
2023-01-01 00:00:00,46800.0,48000.0,46008.0
2023-01-01 00:15:00,46050.0,47500.0,46462.0
2023-01-01 00:30:00,45500.0,47000.0,45349.0
2023-01-01 00:45:00,44650.0,46350.0,44669.0
2023-01-01 01:00:00,43800.0,45700.0,45387.0
2023-01-01 01:15:00,44100.0,45950.0,45864.0
2023-01-01 01:30:00,44400.0,46200.0,45500.0
2023-01-01 01:45:00,44350.0,46100.0,45694.0
2023-01-01 02:00:00,44300.0,46000.0,45444.0
2023-01-01 02:15:00,43750.0,45450.0,45680.0
2023-01-01 02:30:00,43200.0,44900.0,44566.0
2023-01-01 02:45:00,42200.0,44050.0,43726.0
2023-01-01 03:00:00,41200.0,43200.0,42878.0
2023-01-01 03:15:00,40400.0,42500.0,42265.0
2023-01-01 03:30:00,39600.0,41800.0,41583.0
2023-01-01 03:45:00,38950.0,41150.0,40914.0
2023-01-01 04:00:00,38300.0,40500.0,40164.0
2023-01-01 04:15:00,37900.0,40200.0,39714.0
2023-01-01 04:30:00,37500.0,39900.0,39247.0
2023-01-01 04:45:00,37250.0,39600.0,38672.0
2023-01-01 05:00:00,37000.0,39300.0,38504.0
2023-01-01 05:15:00,36800.0,39250.0,38558.0
2023-01-01 05:30:00,36600.0,39200.0,38356.0
2023-01-01 05:45:00,36400.0,39250.0,38221.0
2023-01-01 06:00:00,36200.0,39300.0,38132.0
2023-01-01 06:15:00,36300.0,38950.0,38645.0
2023-01-01 06:30:00,36400.0,38600.0,38578.0
2023-01-01 06:45:00,36350.0,38600.0,38562.0
2023-01-01 07:00:00,36300.0,38600.0,38619.0
2023-01-01 07:15:00,36250.0,38800.0,39026.0
2023-01-01 07:30:00,36200.0,39000.0,38993.0
2023-01-01 07:45:00,36350.0,39100.0,39045.0
2023-01-01 08:00:00,36500.0,39200.0,39238.0
2023-01-01 08:15:00,36350.0,39250.0,39196.0
2023-01-01 08:30:00,36200.0,39300.0,39263.0
2023-01-01 08:45:00,36350.0,39450.0,39293.0
2023-01-01 09:00:00,36500.0,39600.0,39557.0
2023-01-01 09:15:00,37050.0,39450.0,38773.0
2023-01-01 09:30:00,37600.0,39300.0,39331.0
2023-01-01 09:45:00,38050.0,39700.0,39784.0
2023-01-01 10:00:00,38500.0,40100.0,40059.0
2023-01-01 10:15:00,39000.0,40500.0,40536.0
2023-01-01 10:30:00,39500.0,40900.0,40889.0
2023-01-01 10:45:00,39950.0,41350.0,41370.0
2023-01-01 11:00:00,40400.0,41800.0,41823.0
2023-01-01 11:15:00,40950.0,42200.0,42243.0
2023-01-01 11:30:00,41500.0,42600.0,42684.0
2023-01-01 11:45:00,42150.0,43550.0,43306.0
2023-01-01 12:00:00,42800.0,44500.0,44001.0
2023-01-01 12:15:00,42650.0,44600.0,44387.0
2023-01-01 12:30:00,42500.0,44700.0,44275.0
2023-01-01 12:45:00,42300.0,44750.0,44746.0
2023-01-01 13:00:00,42100.0,44800.0,44553.0
2023-01-01 13:15:00,41950.0,44150.0,44424.0
2023-01-01 13:30:00,41800.0,43500.0,43647.0
2023-01-01 13:45:00,41700.0,43650.0,43143.0
2023-01-01 14:00:00,41600.0,43800.0,43325.0
2023-01-01 14:15:00,41350.0,43500.0,43423.0
2023-01-01 14:30:00,41100.0,43200.0,43015.0
2023-01-01 14:45:00,41200.0,43200.0,43203.0
2023-01-01 15:00:00,41300.0,43200.0,43122.0
2023-01-01 15:15:00,41100.0,42900.0,43096.0
2023-01-01 15:30:00,40900.0,42600.0,42554.0
2023-01-01 15:45:00,40650.0,42350.0,42263.0
2023-01-01 16:00:00,40400.0,42100.0,42150.0
2023-01-01 16:15:00,40300.0,41850.0,41774.0
2023-01-01 16:30:00,40200.0,41600.0,41874.0
2023-01-01 16:45:00,40500.0,41850.0,41564.0
2023-01-01 17:00:00,40800.0,42100.0,42287.0
2023-01-01 17:15:00,41800.0,42950.0,43253.0
2023-01-01 17:30:00,42800.0,43800.0,44504.0
2023-01-01 17:45:00,43850.0,44850.0,45239.0
2023-01-01 18:00:00,44900.0,45900.0,46315.0
2023-01-01 18:15:00,45400.0,46350.0,46505.0
2023-01-01 18:30:00,45900.0,46800.0,47065.0
2023-01-01 18:45:00,46350.0,47250.0,47606.0
2023-01-01 19:00:00,46800.0,47700.0,47868.0
2023-01-01 19:15:00,46900.0,47750.0,48147.0
2023-01-01 19:30:00,47000.0,47800.0,48048.0
2023-01-01 19:45:00,46850.0,47650.0,47777.0
2023-01-01 20:00:00,46700.0,47500.0,47442.0
2023-01-01 20:15:00,46250.0,47000.0,47048.0
2023-01-01 20:30:00,45800.0,46500.0,46409.0
2023-01-01 20:45:00,45350.0,46050.0,46141.0
2023-01-01 21:00:00,44900.0,45600.0,45939.0
2023-01-01 21:15:00,44450.0,45100.0,45680.0
2023-01-01 21:30:00,44000.0,44600.0,44824.0
2023-01-01 21:45:00,43400.0,44000.0,44461.0
2023-01-01 22:00:00,42800.0,43400.0,44138.0
2023-01-01 22:15:00,43250.0,43800.0,44122.0
2023-01-01 22:30:00,43700.0,44200.0,44648.0
2023-01-01 22:45:00,44750.0,45250.0,46093.0
2023-01-01 23:00:00,45800.0,46300.0,45638.0
2023-01-01 23:15:00,45400.0,45900.0,45501.0
2023-01-01 23:30:00,45000.0,45500.0,44986.0
2023-01-01 23:45:00,44700.0,44950.0,45417.0
2023-01-02 00:00:00,44400.0,44600.0,44652.0
2023-01-02 00:15:00,43700.0,44000.0,44549.0
2023-01-02 00:30:00,43000.0,43400.0,43390.0
2023-01-02 00:45:00,42100.0,42750.0,41939.0
2023-01-02 01:00:00,41200.0,42100.0,41628.0
2023-01-02 01:15:00,41500.0,42250.0,41956.0
2023-01-02 01:30:00,41800.0,42400.0,41826.0
2023-01-02 01:45:00,41700.0,42000.0,41900.0
2023-01-02 02:00:00,41600.0,41600.0,41590.0
2023-01-02 02:15:00,41150.0,41450.0,42162.0
2023-01-02 02:30:00,40700.0,41300.0,41293.0
2023-01-02 02:45:00,40050.0,40550.0,40513.0
2023-01-02 03:00:00,39400.0,39800.0,39790.0
2023-01-02 03:15:00,39050.0,39400.0,39534.0
2023-01-02 03:30:00,38700.0,39000.0,38950.0
2023-01-02 03:45:00,38450.0,38700.0,38580.0
2023-01-02 04:00:00,38200.0,38400.0,38441.0
2023-01-02 04:15:00,38200.0,38400.0,38471.0
2023-01-02 04:30:00,38200.0,38400.0,38370.0
2023-01-02 04:45:00,38400.0,38650.0,38462.0
2023-01-02 05:00:00,38600.0,38900.0,38892.0
2023-01-02 05:15:00,39050.0,39600.0,39907.0
2023-01-02 05:30:00,39500.0,40300.0,40167.0
2023-01-02 05:45:00,40250.0,41150.0,40821.0
2023-01-02 06:00:00,41000.0,42000.0,41461.0
2023-01-02 06:15:00,42050.0,42950.0,43143.0
2023-01-02 06:30:00,43100.0,43900.0,43917.0
2023-01-02 06:45:00,44000.0,44800.0,44816.0
2023-01-02 07:00:00,44900.0,45700.0,45655.0
2023-01-02 07:15:00,45950.0,46450.0,46575.0
2023-01-02 07:30:00,47000.0,47200.0,47215.0
2023-01-02 07:45:00,48250.0,48100.0,48098.0
2023-01-02 08:00:00,49500.0,49000.0,48957.0
2023-01-02 08:15:00,49800.0,49500.0,49527.0
