Datetime,Prévision J-1,Prévision J,Consommation
2024-01-01 00:00:00,53567.0,53500,54033.0
2024-01-01 00:15:00,53533.0,54400,54488.0
2024-01-01 00:30:00,53600.0,52600,53501.0
2024-01-01 00:45:00,53600.0,52600,52102.0
2024-01-01 01:00:00,52800.0,51300,51292.0
2024-01-01 01:15:00,52800.0,51300,51822.0
2024-01-01 01:30:00,53000.0,51700,51512.0
2024-01-01 01:45:00,53000.0,51700,51731.0
2024-01-01 02:00:00,52300.0,52000,51333.0
2024-01-01 02:15:00,52300.0,52000,51790.0
2024-01-01 02:30:00,51400.0,50900,51315.0
2024-01-01 02:45:00,51400.0,50900,50741.0
2024-01-01 03:00:00,49900.0,49300,50122.0
2024-01-01 03:15:00,49900.0,49300,49238.0
2024-01-01 03:30:00,48600.0,48000,48399.0
2024-01-01 03:45:00,48600.0,48000,47787.0
2024-01-01 04:00:00,47500.0,47100,47319.0
2024-01-01 04:15:00,47500.0,47100,47037.0
2024-01-01 04:30:00,46600.0,46400,46626.0
2024-01-01 04:45:00,46600.0,46400,46267.0
2024-01-01 05:00:00,46100.0,46000,45982.0
2024-01-01 05:15:00,46100.0,46000,46503.0
2024-01-01 05:30:00,46200.0,46300,46308.0
2024-01-01 05:45:00,46200.0,46300,46261.0
2024-01-01 06:00:00,45600.0,46300,46069.0
2024-01-01 06:15:00,45600.0,46300,46649.0
2024-01-01 06:30:00,45400.0,46600,46684.0
2024-01-01 06:45:00,45400.0,46600,46597.0
2024-01-01 07:00:00,45100.0,46800,46602.0
2024-01-01 07:15:00,45100.0,46800,46839.0
2024-01-01 07:30:00,45100.0,46800,46886.0
2024-01-01 07:45:00,45100.0,46800,46721.0
2024-01-01 08:00:00,45200.0,46800,46833.0
2024-01-01 08:15:00,45200.0,46800,46750.0
2024-01-01 08:30:00,45400.0,46700,46726.0
2024-01-01 08:45:00,45400.0,46700,46951.0
2024-01-01 09:00:00,45300.0,47000,47082.0
2024-01-01 09:15:00,45300.0,47000,47046.0
2024-01-01 09:30:00,46000.0,47900,47617.0
2024-01-01 09:45:00,46000.0,47900,47983.0
2024-01-01 10:00:00,47000.0,48200,48115.0
